# GNSS Interseismic Velocities — North America-Fixed Reference Frame
# Euler pole used: ITRF2014 — Altamimi et al. (2017), ITRF2014
# Pole lat=-0.248° lon=-80.314° omega=0.1860 deg/Myr
# NA-fixed velocity = ITRF velocity − Euler-predicted NA plate motion
# All velocities in mm/yr; uncertainties are 1-sigma formal errors
#
# station        lat        lon        Ve   Ve_sig        Vn   Vn_sig        Vu   Vu_sig   Ve_pred   Vn_pred   n_obs
# ---------------------------------------------------------------------------------------------------------
  albh       48.3898  -123.4875   +3.5348   0.0250   +6.3697   0.0179   +0.6706   0.0537  -11.3368  -14.1509    5833
  arli       48.1741  -122.1419   +1.9173   0.0193   +4.8087   0.0165   +0.1880   0.0679  -11.5438  -13.7928    5544
  asbu       43.8206  -121.3685   -2.5072   0.0227   +6.1694   0.0211   -0.8138   0.0820  -10.8633  -13.5835    4353
  ashl       42.1807  -122.6702   -5.1711   0.0242   +8.7768   0.0250   +0.1386   0.0610  -10.3287  -13.9343    4372
  bamf       48.8353  -125.1351   +7.5489   0.0277   +9.0452   0.0253   +1.5303   0.0669  -11.1028  -14.5787    5809
  bcov       50.5443  -126.8426   -0.2313   0.0223   +4.7131   0.0284   +2.2589   0.0705  -11.0434  -15.0094    5800
  beli       48.7553  -122.4790   +1.8528   0.0207   +4.2058   0.0233   -0.0100   0.0650  -11.5855  -13.8832    5783
  bend       44.0572  -121.3152   -1.9205   0.0209   +5.6334   0.0180   -0.9277   0.0613  -10.9182  -13.5690    5237
  bils       47.5393  -124.2525  +10.8170   0.0486  +11.7582   0.0455   -0.7927   0.0947  -11.0475  -14.3510    4837
  bly1       42.4068  -121.0491   -5.2238   0.0214   +6.4369   0.0218   -0.1566   0.0692  -10.6348  -13.4963    3979
  blyn       48.0161  -122.9275   +1.0037   0.3001   +8.4165   0.2768  -38.9186   1.9059  -11.3739  -14.0028     914
  bpeb       50.1567  -127.7717   +2.4171   0.0654   +6.9535   0.0745   +2.9454   0.1851  -10.7941  -15.2381    1585
  brn3       49.2699  -123.0156   +2.3388   0.0364   +5.1363   0.0393   -1.1734   0.1451  -11.5762  -14.0262    2507
  cabl       42.8361  -124.5633   +3.2992   0.0185  +15.9884   0.0181   +1.0323   0.0480  -10.1383  -14.4316    5769
  cacc       41.7456  -124.1843   -1.1903   0.0234  +14.1116   0.0241   +2.3013   0.0611   -9.9942  -14.3333    4337
  cath       46.1973  -123.3673   +3.2676   0.0227   +9.1656   0.0234   +1.2742   0.0706  -10.9693  -14.1192    5658
  chcm       48.0106  -122.7759   +2.6884   0.0253   +5.7574   0.0208   -0.4766   0.0587  -11.4005  -13.9624    5633
  chem       43.2244  -121.7858   -3.3733   0.0173   +6.5557   0.0230   +0.0976   0.0624  -10.6782  -13.6967    4880
  chlw       49.1435  -121.9952   +1.8421   0.0702   +5.7111   0.0486   -0.5229   0.1254  -11.7416  -13.7533    3018
  chwk       49.1566  -122.0084   +0.7304   0.0224   +3.8863   0.0178   +0.2728   0.0706  -11.7414  -13.7568    5711
  chzz       45.4865  -123.9781   +5.1046   0.0275  +11.1426   0.0205   +0.5230   0.0648  -10.7315  -14.2795    5659
  cihl       43.7509  -121.1487   -3.0049   0.0271   +5.7098   0.0189   +0.4413   0.0721  -10.8857  -13.5236    4799
